user,lat,lon
Point,51.408652293323925,-0.12995196718581328
Point,51.41769601065349,-0.1299505425958154
Point,51.408652293323925,-0.14435348238288045
Point,51.41769601065349,-0.14435490697287834
Raf,51.4075800200646,-0.12833374871031006
Ang,51.406560135245115,-0.12738006749796396
Bri,51.40463654626598,-0.1303602392247757
hec,51.41267479253725,-0.12937076657117882
Den,51.40656093787919,-0.12431140803400167
Dav,51.40871112744433,-0.13715272478434687
Señ,51.409683432686776,-0.13814060411288662
Chr,51.410670068627404,-0.12222135193461067
M𝖗 ,51.40552262332308,-0.12235215089993175
Leo,51.40772802124162,-0.14012263539039035
Adr,51.41065820626206,-0.12020798916094018
Kan,51.41571200187312,-0.13134263254709724
Vic,51.41468083547867,-0.13618097064664314
ger,51.40450084133587,-0.12037183067228785
Tem,51.41165256136484,-0.14198543837902328
Lol,51.40166592727538,-0.13908482383295356
Cai,51.417651522453134,-0.1321789586598923
Ren,51.41768749834807,-0.12620886383052402
Tho,51.41666479968013,-0.1391266812150613
bob,51.39857345393861,-0.12841627504147918
Jar,51.39862696686254,-0.1332773836131781
Vin,51.418620282735795,-0.1341821065015368
Bot,51.418620282735795,-0.1341821065015368
Gab,51.41367351144018,-0.14493485300133066
Bry,51.402605024041996,-0.14490182806134894
MrT,51.399606131539386,-0.14396869316825106
@tan,51.399606131539386,-0.14393869316805102
Asa,51.40656093787919,-0.14999404153469206
Mah,51.40315773483953,-0.13916693028302649
Dan,51.4025337176842,-0.14884951321681056
Luc,51.41963976801694,-0.14203462615422666
Sco,51.409650430853155,-0.15208993259015774
Mai,51.41466831482583,-0.15107754922553324
Rom,51.42073695325725,-0.14490693582160627
Ada,51.42073695325725,-0.14490693582160627
Cut,51.41669787312426,-0.15209223538997735
Ab ,51.41669787312426,-0.15209223538997735
Ed,51.419790690960475,-0.14898013699809665
K K,51.409625253543936,-0.15608994893205105
Val,51.41367443894225,-0.1560985774554323
Gab,51.41166174746636,-0.15710344903078113
Nah,51.406542188478184,-0.1580320465927736
